Property_ID,Suburb,Property_Type,Bedrooms,Bathrooms,Parking_Spaces,Land_Size_sqm,Building_Size_sqm,Sale_Price_AUD,Sale_Date,Distance_to_CBD_km,Source_URL,Notes,Dwelling_Group,Has_Land_Size
PT-024,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,566000.0,2026-08-28,24,https://www.domain.com.au/1201-45-macquarie-street-parramatta-nsw-2150-2021115983,sold listing verified; unavailable fields left blank,0,1
PT-025,Parramatta,Apartment / Unit / Flat,2,1,1.0,0.0,,680000.0,2026-08-28,24,https://www.domain.com.au/5-30-32-queens-avenue-parramatta-nsw-2150-2020960907,sold listing verified; unavailable fields left blank,0,1
PT-026,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,590000.0,2026-08-28,24,https://www.domain.com.au/11-32-hassall-street-parramatta-nsw-2150-2020925402,sold listing verified; unavailable fields left blank,0,1
PT-027,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,552000.0,2026-08-27,24,https://www.domain.com.au/c26-88-98-marsden-street-parramatta-nsw-2150-2020939108,sold listing verified; unavailable fields left blank,0,1
PT-028,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,410000.0,2026-08-24,24,https://www.domain.com.au/805-21-hassall-street-parramatta-nsw-2150-2020574624,sold listing verified; unavailable fields left blank,0,1
PT-029,Parramatta,Apartment / Unit / Flat,2,1,1.0,89.0,,653000.0,2026-08-21,24,https://www.domain.com.au/108-125-129-arthur-street-parramatta-nsw-2150-2021092190,sold listing verified; unavailable fields left blank,0,1
PT-030,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,600000.0,2026-08-21,24,https://www.domain.com.au/219-88-church-street-parramatta-nsw-2150-2020908510,sold listing verified; unavailable fields left blank,0,1
PT-031,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,800000.0,2026-08-21,24,https://www.domain.com.au/1502-88-church-street-parramatta-nsw-2150-2020980839,sold listing verified; unavailable fields left blank,0,1
PT-014,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,153.0,623000.0,2026-05-06,24,https://www.domain.com.au/903-6-10-charles-street-parramatta-nsw-2150-2020668708,Verified sold listing,0,1
PT-015,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,132.0,641000.0,2026-08-21,24,https://www.domain.com.au/41-3-good-street-parramatta-nsw-2150-2020959193,Verified sold listing,0,1
PT-016,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,152.0,660000.0,2026-05-04,24,https://www.domain.com.au/27-3-good-street-parramatta-nsw-2150-2020632968,Verified sold listing,0,1
PT-017,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,,683000.0,2026-04-29,24,https://www.domain.com.au/101-42-macarthur-street-parramatta-nsw-2150-2020797307,Verified sold listing,0,1
PT-018,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,398000.0,2026-05-13,24,https://www.domain.com.au/23-64-66-great-western-highway-parramatta-nsw-2150-2020841825,Verified sold listing; land size not published/verified.,0,1
PT-032,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,399000.0,2026-01-13,24,https://www.domain.com.au/61-64-66-great-western-highway-parramatta-nsw-2150-2020483318,Verified sold listing; land size not published/verified.,0,1
PT-033,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,,400000.0,2025-12-05,24,https://www.domain.com.au/13b-15-campbell-street-parramatta-nsw-2150-2020440897,Verified sold listing; land size not published/verified.,0,1
PT-034,Parramatta,Apartment / Unit / Flat,1,1,1.0,0.0,74.0,405000.0,2026-08-25,24,https://www.domain.com.au/16l-15-campbell-street-parramatta-nsw-2150-2021047374,Verified sold listing,0,1
PT-035,Parramatta,Apartment / Unit / Flat,2,2,1.0,0.0,145.0,657000.0,2026-08-11,24,https://www.domain.com.au/3-11-o-reilly-street-parramatta-nsw-2150-2020903097,Verified sold listing,0,1
PT-036,Parramatta,Apartment / Unit / Flat,1,1,1.0,101.0,81.0,400000.0,2026-08-07,24,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151414292,Verified sold listing,0,1
